product_code,normalized_code,description
"0 432 131 735","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 737","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 869","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 881","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 877","","Enjektör meme tutturucusu kombinasyonu"
"0 432 133 858","","Enjektör meme tutturucusu kombinasyonu"
"0 432 133 857","","Enjektör meme tutturucusu kombinasyonu"
"0 432 133 861","","Enjektör meme tutturucusu kombinasyonu"
"0 432 133 864","","Enjektör meme tutturucusu kombinasyonu"
"0 432 133 878","","Enjektör meme tutturucusu kombinasyonu"
"0 432 133 876","","Enjektör meme tutturucusu kombinasyonu"
"0 432 191 220","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 133 888","","Enjektör meme tutturucusu kombinasyonu"
"0 432 191 248","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 191 277","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 191 357","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 191 484","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 191 509","","Enjektör meme tutturucusu kombinasyonu"
"0 432 193 400","","Enjektör meme tutturucusu kombinasyonu"
"0 432 193 504","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 193 546","","Enjektör meme tutturucusu kombinasyonu"
"0 432 193 581","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 193 635","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 193 646","","Enjektör meme kombinasyonu (Kademeli tutturucu)"
"0 432 217 077","","Enjektör meme tutturucusu kombinasyonu"
"0 432 193 758","","Enjektör meme tutturucu kombinasyonu(2-Yay)"
"0 432 231 664","","Enjektör meme tutturucusu kombinasyonu"
"0 432 291 504","","Enjektör meme tutturucusu kombinasyonu"
"0 444 011 019","","DNOX dozaj modülü"
"0 444 063 021","","DNOX dozaj modülü"
"0 445 010 835","","Yüksek basınç pompası, CR sistemi"
"0 445 011 549","","Yüksek basınç pompası, CR sistemi"
"0 445 011 543","","Yüksek basınç pompası, CR sistemi"
"0 445 020 027","","Yüksek basınç pompası, CR sistemi"
"0 445 020 068","","Yüksek basınç pompası, CR sistemi"
"0 445 020 101","","Yüksek basınç pompası, CR sistemi"
"0 445 020 135","","Yüksek basınç pompası, CR sistemi"
"0 445 020 091","","Yüksek basınç pompası, CR sistemi"
"0 445 020 293","","Yüksek basınç pompası, CR sistemi"
"0 445 020 558","","Yüksek basınç pompası, CR sistemi"
"0 445 025 663","","Yüksek basınç pompası, CR sistemi"
"0 445 110 623","","Enjektör, CR sistemi"
"0 445 110 676","","Enjektör, CR sistemi"
"0 445 110 894","","Enjektör, CR sistemi"
"0 445 111 068","","Enjektör, CR sistemi"
"0 445 117 092","","Enjektör, CR sistemi"
"0 445 120 220","","Enjektör, CR sistemi"
"0 445 120 257","","Enjektör, CR sistemi"
"0 445 120 445","","Enjektör, CR sistemi"
"0 445 120 761","","Büyük dizeller CR enjektörü"
"0 445 214 271","","Yakıt dağıtım borusu, CR sistemi"
"0 445 214 201","","Yakıt dağıtım borusu, CR sistemi"
"0 445 226 065","","Yakıt dağıtım borusu, CR sistemi"
"0 460 423 070","","Distribütör püskürtme düzeni"
"0 460 424 255","","Distribütör püskürtme düzeni"
"0 460 424 138","","Distribütör püskürtme düzeni"
"0 460 424 314","","Distribütör püskürtme düzeni"
"0 460 424 317","","Distribütör püskürtme düzeni"
"0 460 424 322","","Distribütör püskürtme düzeni"
"0 460 424 401","","Distribütör püskürtme düzeni"
"0 460 424 470","","Distribütör püskürtme düzeni"
"0 460 424 508","","Distribütör püskürtme düzeni"
"0 460 424 480","","Distribütör püskürtme düzeni"
"0 460 424 581","","Distribütör püskürtme düzeni"
"0 460 426 335","","Distribütör püskürtme düzeni"
"0 580 204 044","","Yakıt besleme modülü"
"0 460 426 470","","Distribütör püskürtme düzeni"
"098622A406","","Ateşleme bobini"
"0986258A01","","Lambda sensörü"
"0986258A00","","Lambda sensörü"
"0 986 280 655","","Basınç sezicisi"
"0 986 280 825","","Eksantrik mili sensörü"
"0 986 280 819","","Eksantrik mili sensörü"
"0 986 338 601","","Kasasız fan, motor soğutması"
